이름,연도,연봉(만원),생년월일,ERA,G,W,L,SV,HLD,WPCT,H,HR,BB,HBP,SO,R,ER,WHIP
장원준,2017,5000,19850731,3.14,29,14,9,0,0,0.609,172,12,51,14,125,70,63,1.24
차우찬,2017,30000,19870531,3.43,28,10,7,0,0,0.588,171,20,38,7,157,75,67,1.19
양현종,2017,100000,19880301,3.44,31,20,6,0,0,0.769,209,17,45,0,158,88,74,1.31
박세웅,2017,26000,19951130,3.68,28,12,6,0,0,0.667,170,21,56,9,117,74,70,1.32
박종훈,2017,180000,19910813,4.1,29,12,7,0,1,0.632,145,16,61,25,107,74,69,1.36
최원태,2017,31000,19970107,4.46,25,11,7,0,0,0.611,161,19,34,12,126,76,74,1.31
문승원,2017,160000,19891128,5.33,29,6,12,0,0,0.333,181,25,54,11,86,98,92,1.51
이용찬,2018,40000,19890102,3.63,25,15,3,0,0,0.833,151,14,36,8,102,62,58,1.3
